Shrutis-MBP:assignment1 shruti$ python q3_sgd.py 
Running sanity checks...
iter 7560: 14.628844
iter 7570: 14.604738
iter 7580: 14.674371
iter 7590: 14.665860
iter 7600: 14.605335
iter 7610: 14.726944
iter 7620: 14.735441
iter 7630: 14.739748
iter 7640: 14.771595
iter 7650: 14.746088
iter 7660: 14.751369
iter 7670: 14.763700
iter 7680: 14.794683
iter 7690: 14.806183
iter 7700: 14.880462
iter 7710: 14.821903
iter 7720: 14.820805
iter 7730: 14.809518
iter 7740: 14.785130
iter 7750: 14.738954
iter 7760: 14.769362
iter 7770: 14.774802
iter 7780: 14.840560
iter 7790: 14.775813
iter 7800: 14.762194
iter 7810: 14.775901
iter 7820: 14.652239
iter 7830: 14.699003
iter 7840: 14.621778
iter 7850: 14.611097
iter 7860: 14.561367
iter 7870: 14.643984
iter 7880: 14.676324
iter 7890: 14.617249
iter 7900: 14.569747
iter 7910: 14.600358
iter 7920: 14.613562
iter 7930: 14.536059
iter 7940: 14.437449
iter 7950: 14.449585
iter 7960: 14.370568
iter 7970: 14.400984
iter 7980: 14.372180
iter 7990: 14.453831
iter 8000: 14.479292
iter 8010: 14.436244
iter 8020: 14.346928
iter 8030: 14.365698
iter 8040: 14.314573
iter 8050: 14.210840
iter 8060: 14.310694
iter 8070: 14.343211
iter 8080: 14.452280
iter 8090: 14.404317
iter 8100: 14.359301
iter 8110: 14.380756
iter 8120: 14.251818
iter 8130: 14.343315
iter 8140: 14.271650
iter 8150: 14.217539
iter 8160: 14.101527
iter 8170: 14.129230
iter 8180: 14.138629
iter 8190: 14.196594
iter 8200: 14.200786
iter 8210: 14.179072
iter 8220: 14.233517
iter 8230: 14.195374
iter 8240: 14.233633
iter 8250: 14.198797
iter 8260: 14.231391
iter 8270: 14.167778
iter 8280: 14.183211
iter 8290: 14.122788
iter 8300: 14.177175
iter 8310: 14.234556
iter 8320: 14.121661
iter 8330: 14.198818
iter 8340: 14.176296
iter 8350: 14.192391
iter 8360: 14.103344
iter 8370: 14.059136
iter 8380: 14.041048
iter 8390: 13.894257
iter 8400: 13.799491
iter 8410: 13.797707
iter 8420: 13.798083
iter 8430: 13.736058
iter 8440: 13.790246
iter 8450: 13.679503
iter 8460: 13.649809
iter 8470: 13.752813
iter 8480: 13.644966
iter 8490: 13.765670
iter 8500: 13.657095
iter 8510: 13.686273
iter 8520: 13.650612
iter 8530: 13.702424
iter 8540: 13.643823
iter 8550: 13.738691
iter 8560: 13.690345
iter 8570: 13.695747
iter 8580: 13.635378
iter 8590: 13.563716
iter 8600: 13.492356
iter 8610: 13.501555
iter 8620: 13.493106
iter 8630: 13.454702
iter 8640: 13.392549
iter 8650: 13.400543
iter 8660: 13.422495
iter 8670: 13.536421
iter 8680: 13.465953
iter 8690: 13.498843
iter 8700: 13.564285
iter 8710: 13.562431
iter 8720: 13.542763
iter 8730: 13.605284
iter 8740: 13.446058
iter 8750: 13.529544
iter 8760: 13.480317
iter 8770: 13.463062
iter 8780: 13.565066
iter 8790: 13.486675
iter 8800: 13.522587
iter 8810: 13.400694
iter 8820: 13.502330
iter 8830: 13.534158
iter 8840: 13.537851
iter 8850: 13.515711
iter 8860: 13.456830
iter 8870: 13.452051
iter 8880: 13.491370
iter 8890: 13.462995
iter 8900: 13.569620
iter 8910: 13.609810
iter 8920: 13.542101
iter 8930: 13.500641
iter 8940: 13.373311
iter 8950: 13.308702
iter 8960: 13.247042
iter 8970: 13.162013
iter 8980: 13.179138
iter 8990: 13.108504
iter 9000: 13.109289
iter 9010: 13.149184
iter 9020: 13.103331
iter 9030: 13.194142
iter 9040: 13.242151
iter 9050: 13.202061
iter 9060: 13.158959
iter 9070: 13.187815
iter 9080: 13.257848
iter 9090: 13.335528
iter 9100: 13.362536
iter 9110: 13.428216
iter 9120: 13.417925
iter 9130: 13.510513
iter 9140: 13.553052
iter 9150: 13.510779
iter 9160: 13.546284
iter 9170: 13.535168
iter 9180: 13.516379
iter 9190: 13.562984
iter 9200: 13.615944
iter 9210: 13.549657
iter 9220: 13.546949
iter 9230: 13.568346
iter 9240: 13.523239
iter 9250: 13.433588
iter 9260: 13.410020
iter 9270: 13.361481
iter 9280: 13.389143
iter 9290: 13.469411
iter 9300: 13.418481
iter 9310: 13.499585
iter 9320: 13.462658
iter 9330: 13.398459
iter 9340: 13.453484
iter 9350: 13.467677
iter 9360: 13.567816
iter 9370: 13.541791
iter 9380: 13.465796
iter 9390: 13.382433
iter 9400: 13.489975
iter 9410: 13.581771
iter 9420: 13.544902
iter 9430: 13.507370
iter 9440: 13.375332
iter 9450: 13.489283
iter 9460: 13.384182
iter 9470: 13.391619
iter 9480: 13.271715
iter 9490: 13.250444
iter 9500: 13.267120
iter 9510: 13.234778
iter 9520: 13.196982
iter 9530: 13.114817
iter 9540: 13.250991
iter 9550: 13.232136
iter 9560: 13.131442
iter 9570: 13.040476
iter 9580: 13.031485
iter 9590: 12.979354
iter 9600: 12.945306
iter 9610: 12.925519
iter 9620: 12.889982
iter 9630: 12.888489
iter 9640: 12.880528
iter 9650: 12.764217
iter 9660: 12.793495
iter 9670: 12.805710
iter 9680: 12.794917
iter 9690: 12.816112
iter 9700: 12.784884
iter 9710: 12.752778
iter 9720: 12.714205
iter 9730: 12.744490
iter 9740: 12.820571
iter 9750: 12.748973
iter 9760: 12.753968
iter 9770: 12.841084
iter 9780: 12.818626
iter 9790: 12.943384
iter 9800: 12.945105
iter 9810: 12.893908
iter 9820: 12.906116
iter 9830: 12.887999
iter 9840: 12.982854
iter 9850: 12.931701
iter 9860: 12.951436
iter 9870: 12.887613
iter 9880: 12.885282
iter 9890: 12.852263
iter 9900: 12.862951
iter 9910: 12.945582
iter 9920: 13.025080
iter 9930: 13.094595
iter 9940: 13.132680
iter 9950: 13.066178
iter 9960: 13.081465
iter 9970: 12.977765
iter 9980: 12.978368
iter 9990: 12.956715
iter 10000: 13.039175
iter 10010: 12.999427
iter 10020: 12.905282
iter 10030: 12.870089
iter 10040: 12.864375
iter 10050: 12.790095
iter 10060: 12.732596
iter 10070: 12.792269
iter 10080: 12.784608
iter 10090: 12.748237
iter 10100: 12.819968
iter 10110: 12.833503
iter 10120: 12.868610
iter 10130: 12.901582
iter 10140: 12.863673
iter 10150: 12.804557
iter 10160: 12.866970
iter 10170: 12.823796
iter 10180: 12.932924
iter 10190: 13.004128
iter 10200: 12.914280
iter 10210: 12.832356
iter 10220: 12.772607
iter 10230: 12.817863
iter 10240: 12.833183
iter 10250: 12.815894
iter 10260: 12.731605
iter 10270: 12.744574
iter 10280: 12.774896
iter 10290: 12.754299
iter 10300: 12.607901
iter 10310: 12.610094
iter 10320: 12.594632
iter 10330: 12.563146
iter 10340: 12.677886
iter 10350: 12.736389
iter 10360: 12.704566
iter 10370: 12.639105
iter 10380: 12.619329
iter 10390: 12.607104
iter 10400: 12.633451
iter 10410: 12.597917
iter 10420: 12.564160
iter 10430: 12.530108
iter 10440: 12.547215
iter 10450: 12.582258
iter 10460: 12.561503
iter 10470: 12.533056
iter 10480: 12.509958
iter 10490: 12.509777
iter 10500: 12.414302
iter 10510: 12.365729
iter 10520: 12.339635
iter 10530: 12.388633
iter 10540: 12.294209
iter 10550: 12.303785
iter 10560: 12.447135
iter 10570: 12.440946
iter 10580: 12.456084
iter 10590: 12.383915
iter 10600: 12.429338
iter 10610: 12.580164
iter 10620: 12.524158
iter 10630: 12.468442
iter 10640: 12.402842
iter 10650: 12.462110
iter 10660: 12.484776
iter 10670: 12.435978
iter 10680: 12.446381
iter 10690: 12.402117
iter 10700: 12.334852
iter 10710: 12.233603
iter 10720: 12.236424
iter 10730: 12.292050
iter 10740: 12.285954
iter 10750: 12.297095
iter 10760: 12.272501
iter 10770: 12.261359
iter 10780: 12.259874
iter 10790: 12.177396
iter 10800: 12.150283
iter 10810: 12.136642
iter 10820: 12.126518
iter 10830: 12.162638
iter 10840: 12.168561
iter 10850: 12.187982
iter 10860: 12.226097
iter 10870: 12.185454
iter 10880: 12.175300
iter 10890: 12.153117
iter 10900: 12.182508
iter 10910: 12.209071
iter 10920: 12.220670
iter 10930: 12.190309
iter 10940: 12.226645
iter 10950: 12.286329
iter 10960: 12.246368
iter 10970: 12.188095
iter 10980: 12.256892
iter 10990: 12.242436
iter 11000: 12.289155
iter 11010: 12.247908
iter 11020: 12.234613
iter 11030: 12.201718
iter 11040: 12.232588
iter 11050: 12.187090
iter 11060: 12.162214
iter 11070: 12.137355
iter 11080: 12.128556
iter 11090: 12.129658
iter 11100: 12.107194
iter 11110: 12.210594
iter 11120: 12.262165
iter 11130: 12.292143
iter 11140: 12.351547
iter 11150: 12.349700
iter 11160: 12.303218
iter 11170: 12.172266
